# Cluster list (13 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 25506 20.682429742 20.8523232965 21.119812005 
2 156 35.7671923077 9.9337884615 -6.7059294872 
3 78 24.6581410256 -3.3694230769 -1.2889871795 
4 26 12.6750384615 -6.5055769231 15.2929615385 
5 26 -0.4851153846 16.6972692308 44.6203076923 
6 26 0.8764230769 23.7888076923 48.2737307692 
7 26 35.5366538462 -5.2410769231 3.2503461538 
8 26 8.7362692308 45.3640384615 48.4808461538 
9 26 37.9302307692 39.7797307692 48.7285 
10 26 6.4902692308 -0.6968076923 46.8851923077 
11 26 42.1163846154 46.5184615385 -9.6180769231 
12 26 56.5785769231 27.7576923077 20.3315384615 
13 26 16.7270384615 -6.1397307692 30.842 
