Step,Total,Kinetic,Bonded,Non-Bonded,Pressure
0,47859.4269071492,45163.015666601415,28671.594333179706,-25975.183092631924,0.033841609651844545
2,47752.34751556934,45182.536809877754,28758.066440733586,-26188.25573504201,0.028477893476387406
4,47771.36075646545,45088.65182656599,28950.854708646435,-26268.14577874697,0.021480445229615813
6,47828.58423472546,45240.33917080375,28910.570085641335,-26322.32502171962,0.02291522949556507
8,47395.51876455396,45242.31169478005,28744.2108736579,-26591.003803884,0.02193946610530767
10,47485.9447958063,45173.03788849858,28695.48828528037,-26382.581377972652,0.030663606741395066
12,47451.85515432958,45211.59476676727,28666.1394661852,-26425.87907862289,0.030338368479603944
14,46911.65174265972,45116.00500660787,28746.3666869582,-26950.71995090634,0.01955284971435514
16,46753.569976197985,45093.67364093583,28670.29788595304,-27010.40155069089,0.020663151976343996
18,46531.92772551246,45029.554776835896,28490.599424835862,-26988.2264761593,0.026892700869729808
20,45770.49069947251,44948.296251313644,28517.339218505847,-27695.144770346982,0.02732123090169475
22,45974.831960606534,44832.62359055663,28547.864027060787,-27405.65565701088,0.025577323688320164
24,46019.663079223705,45224.036281825385,28646.710092688954,-27851.083295290628,0.019591610181964703
26,45474.94348446572,44764.64139611627,28720.265284257173,-28009.963195907723,0.022133676857333112
28,45938.10385137412,45255.397566786174,28670.341442512792,-27987.63515792484,0.024042703050713016
30,45436.788005466,45068.6402819069,28684.08526347657,-28315.937539917468,0.025474965971503394
32,45469.149415978194,45342.853746889654,28681.909198521116,-28555.613529432572,0.027674642903306762
34,45252.245958294116,44957.461294595465,28723.183400241567,-28428.398736542913,0.023815877985331663
36,45187.402643887166,45125.99440357572,28601.929366208784,-28540.52112589734,0.027345240165283752
38,45280.51288714094,45146.407738281356,28723.702433587197,-28589.597284727617,0.025371009628025104
40,45232.01116155009,44802.29514746381,28994.00501029016,-28564.28899620388,0.011928714254800576
42,44952.27110751778,45109.155574750606,28997.734660960257,-29154.61912819308,0.016325389571098553
44,44458.81926842064,44771.17256439844,28722.645212944495,-29034.9985089223,0.012438051370601583
46,44319.248619650665,44915.73060063704,28817.746025559634,-29414.22800654601,0.02391981697132875
48,44510.096111283696,45163.09844510086,28586.93957355755,-29239.941907374712,0.024361807296206905
50,44176.21409818654,44907.34643837904,28670.224828154187,-29401.357168346683,0.022671992123638046
52,44252.22688578096,44943.83164522818,28632.543342477347,-29324.148101924562,0.024433634270588506
54,44008.07312233988,45242.811370310956,28613.792965364293,-29848.53121333537,0.02055212879077506
56,44457.68972384531,45373.84345397876,29028.8356936106,-29944.989423744057,0.011313073165112125
58,43753.65298906271,45015.3964080275,28746.93800968256,-30008.681428647338,0.01840453055840985
60,43482.87750499387,44675.004762792436,28765.976429380953,-29958.103687179522,0.02739013016220529
62,43662.08695648699,44807.97527249274,28527.84437039818,-29673.73268640392,0.028443559925811268
64,43591.462780187525,45079.56816036114,28589.0955280963,-30077.20090826992,0.02193997672627515
66,43392.62750312969,45121.09021369182,28507.373121698412,-30235.83583226054,0.024165888996553447
68,43444.682193459266,45511.05339030991,28524.73508847622,-30591.106285326856,0.025636775575998277
70,43085.60914005807,44959.833903185696,28619.851472039907,-30494.07623516753,0.025180760712736505
72,43049.47515484017,45050.22783318044,28780.752440685323,-30781.50511902559,0.026462500150062462
74,42382.788318052044,44773.751846648265,28701.98942059614,-31092.952949192357,0.02318639929398497
76,42823.40020785447,45032.91590778309,28714.03973941327,-30923.55543934189,0.02237321545709009
78,42313.20743523649,44779.93469584817,28669.30628613983,-31136.03354675151,0.01615171456078529
80,42914.37074428905,45229.22165925416,28657.5086202588,-30972.359535223914,0.020709811391432464
82,42597.66697504253,45099.138472096565,28646.11760948978,-31147.58910654381,0.021788212751227054
84,42438.288610275806,45151.190682256165,28683.490913652906,-31396.39298563327,0.013166094220981805
86,41878.2595877236,44838.43612884224,28640.04606197276,-31600.2226030914,0.01617800495975874
88,42233.25430070558,44863.99298689927,28736.65658009815,-31367.395266291845,0.014920333325586427
90,42495.795320171455,45257.87022979125,28801.01256657369,-31563.087476193483,0.01341439018407023
92,42167.39051022995,44994.78479573466,28708.494884791828,-31535.88917029655,0.017957629830719635
94,42225.87408582167,44899.76599077732,28946.213429885327,-31620.105334840984,0.01468943642682663
96,42061.080250422165,45215.54785731765,28580.708447740024,-31735.17605463551,0.018329023574193
98,41783.834674965554,44787.921903727656,28803.835921013087,-31807.923149775193,0.01320996322692855
100,42184.781036612585,45390.75324360968,28646.045942647354,-31852.01814964445,0.01764397654203373
102,41941.82281343932,44839.48213623494,28760.08811195072,-31657.747434746332,0.013254316417736667
104,41734.91109860535,45081.62801591525,28674.644461955973,-32021.36137926588,0.01497915228901131
106,42053.09298719291,45455.876295878115,28488.429085669024,-31891.21239435423,0.02582711796657819
108,41923.34927194752,45043.501148948664,28693.399338360727,-31813.551215361877,0.02421315114449127
110,41650.54786368036,45040.71518100806,28507.2321734161,-31897.399490743803,0.025794801738258682
112,41261.76560731685,44587.03361275382,28697.11339665074,-32022.3814020877,0.016665041810523973
114,41379.95758147065,44874.421368661366,28586.689871242896,-32081.153658433614,0.018495757347735897
116,41480.86769787834,45132.158291804626,28673.904353827158,-32325.194947753447,0.022490740395253533
118,41394.60466390851,44822.50838363846,28696.267937716824,-32124.171657446772,0.01921644865760419
120,40954.0458517832,44802.30835294882,28800.8924320319,-32649.154933197526,0.013816781483778517
122,40942.482662654715,44901.52542492553,28514.210171675153,-32473.252933945976,0.02445114387232189
124,40874.209987346025,44854.125558039595,28738.04661660274,-32717.962187296303,0.014077756091305599
126,40685.50199844851,44911.72352685458,28481.46148042809,-32707.683008834156,0.021489927710717976
128,40884.45121909587,44785.99353287843,28775.973623518028,-32677.51593730058,0.014116376858386764
130,41247.40783041093,45253.87469014453,28626.822092596678,-32633.288952330277,0.022834922910749067
132,41072.31965319751,45142.061472337125,28632.018786988134,-32701.760606127747,0.017476622966956207
134,40821.02383793541,45138.36513412778,28676.04175810553,-32993.3830542979,0.017885857577476738
136,40881.28992239913,44993.94993722665,28874.603258509436,-32987.26327333695,0.009920014682683553
138,40807.94867015489,45036.590088651516,28601.21695171596,-32829.85837021259,0.020647332549374786
140,41073.32767931482,45084.785205766326,28569.78091130663,-32581.23843775814,0.02226677893821072
142,41253.46926805607,45155.89021211376,28678.431430476016,-32580.852374533704,0.02237385529384167
144,40304.33706033964,44753.84045075717,28672.35200813389,-33121.85539855142,0.015312317969445488
146,39781.34101931828,44603.14415321754,28599.026443535105,-33420.82957743436,0.019035856036821203
148,40551.17776556563,45082.991828030514,28677.641362678023,-33209.45542514291,0.019430445236574362
150,40749.10667207928,45048.695340991515,28530.200015257302,-32829.788684169536,0.02526643793436345
152,40618.44656918952,44975.832573921674,28591.659791754424,-32949.04579648658,0.02457665305437043
154,40970.76172260956,44898.56639927462,29026.71987000076,-32954.52454666582,0.013074718023161208
156,40204.847156258154,45010.438413050324,28649.67391765691,-33455.26517444907,0.01961961735950052
158,40717.04050051902,45298.70693734789,28820.066485383257,-33401.732922212126,0.01932837597351969
160,40555.59405913864,45116.53247319669,28852.711769945377,-33413.650184003425,0.01738831813531419
162,39914.80318383727,44786.900280468406,28578.83767836361,-33450.93477499475,0.025268783888286905
164,40558.63944790633,45301.06218010965,28638.852214229166,-33381.27494643249,0.014640016040558035
166,40000.44722017709,45049.33534960527,28565.627592465065,-33614.51572189325,0.018620596320930383
168,39946.70758028038,44918.20662893437,28492.378483053883,-33463.877531707876,0.021773448983931604
170,40101.713639218506,44991.47367853329,28678.73887938313,-33568.49891869792,0.018281852995025577
172,40173.32599431423,44979.78137542936,28773.003705235195,-33579.459086350325,0.008828611735651942
174,39880.4954997801,44968.878186642534,28790.01074396042,-33878.393430822856,0.018787400258358955
176,39808.3321636523,45111.25814386003,28703.137803237078,-34006.0637834448,0.02066393982697265
178,40095.81605765366,44905.760730815644,28744.660123816448,-33554.60479697843,0.0202950938631328
180,39951.2908147547,45138.98523788419,28630.578755060975,-33818.27317819046,0.012414929542099495
182,40224.328935079364,45111.84384129377,28691.243078142805,-33578.75798435722,0.020885314838638286
184,39983.936332586905,44629.10184845909,28805.757154335704,-33450.92267020789,0.014882403965876673
186,39782.812884597304,44834.71466877359,28649.119244643734,-33701.021028820025,0.018764333647917325
188,39967.49191491211,45294.80444230946,28416.590139148455,-33743.90266654581,0.023973380264559974
190,39479.579338231924,44745.13094626851,28774.720357996986,-34040.27196603357,0.010124734297801252
192,39589.11655534271,44798.41340441792,28855.199281985064,-34064.49613106027,0.010954383917412519
194,39486.86927633535,44930.642475581684,28717.83113670871,-34161.60433595505,0.007309202076566157
196,39765.72984456078,44988.32603179076,28829.00025305487,-34051.596440284855,0.015015495720686667
198,39609.14836143513,44920.48907902285,28729.183535009448,-34040.52425259717,0.01183734209647408
200,39715.293521039435,44661.831871798255,29019.514980856635,-33966.05333161545,0.012288852877364559
202,39041.266436622296,44588.83327821029,28646.942858013517,-34194.50969960151,0.01684295862664706
204,39670.76447774961,44932.20582568329,28583.529232952566,-33844.97058088624,0.017739314751135243
206,39814.29581213696,44960.859199853905,28582.91119138342,-33729.474579100366,0.024646223843033693
208,40131.31130938072,45482.14065850513,28577.28528321935,-33928.11463234376,0.01964807895048068
210,39645.1547983478,45073.468669141395,28389.772871900845,-33818.08674269444,0.020501539252455403
212,40101.37764729655,45162.458398169554,28816.767039662554,-33877.84779053556,0.00903036777207017
214,39675.387660542016,44860.47125110214,28974.775863060724,-34159.85945362085,0.00518540497523215
216,39711.4097867111,45146.48243226429,28680.954008303248,-34116.02665385645,0.013772198497699006
218,39778.16940111202,45108.729024964116,28710.371574806002,-34040.931198658094,0.024259885500195977
220,39404.89049775225,45085.29602711895,28869.10415353542,-34549.50968290212,0.00615066287162358
222,39660.354872618474,44982.88790771599,28807.947284432543,-34130.480319530056,0.019260289215736637
224,39323.25518455739,44912.76621908886,28547.76548209278,-34137.276516624246,0.018330312526583514
226,39403.02097836078,45126.2998316141,28578.728159438244,-34302.00701269156,0.01471866010602696
228,38892.89621546694,44935.178161690805,28380.672203648937,-34422.95414987281,0.0197413288753035
230,39386.77344899907,45126.937479744964,28565.790415617565,-34305.95444636347,0.025360630869643824
232,39547.077102535965,45011.64902002058,28679.61689266704,-34144.18881015166,0.011864322706891334
234,39183.81138276613,44838.07902450538,28729.52722063799,-34383.79486237724,0.021781451939653612
236,39700.608786644756,45162.28998002898,28594.781049591926,-34056.46224297616,0.026320308997315106
238,39210.132461249,44873.334674256104,28791.341565880655,-34454.54377888776,0.01775566430476941
240,39090.05690349959,44871.913104595216,28555.91911195791,-34337.775313053535,0.02109135235091328
242,39049.90223678361,44977.94287855355,28639.450175855345,-34567.49081762529,0.025017705785136624
244,38913.9705718578,44790.94806113231,28754.04978491223,-34631.027274186745,0.014465138015896245
246,39364.367141290444,44979.53953612675,28698.682306390638,-34313.85470122695,0.016305567244617875
248,39025.68812966077,44576.91414444265,28829.300711744843,-34380.526726526725,0.01662685843764128
250,39108.148625930204,45115.98250956225,28567.585461043465,-34575.41934467551,0.027228601263103697
252,39134.620539919306,45074.02624547954,28647.079205061254,-34586.48491062149,0.021388603030218667
254,38513.52997977845,44787.446049922844,28661.240972627966,-34935.15704277237,0.009053585351320087
256,38690.04695542393,44648.78263357071,28665.441276940353,-34624.17695508713,0.010287608504632784
258,38696.94832231984,44939.70467828667,28616.00546917829,-34858.76182514511,0.023965837794183625
260,39122.51522047963,45209.10757773569,28895.524919126965,-34982.117276383025,0.009394822279279402
262,38314.29576136647,44764.80433673506,28666.607742604418,-35117.116317973014,0.014394927578061045
264,38790.887690694966,44995.38817859673,28645.857416937804,-34850.35790483957,0.014849724142108084
266,38566.24766799108,44869.531212398964,28787.279920892393,-35090.56346530027,0.01696815377367472
268,38569.07226635094,45185.81128629913,28530.901496933107,-35147.64051688131,0.019256802413122526
270,38618.60528844197,45199.81065475009,28559.598424341115,-35140.80379064923,0.022862340477524334
272,38463.08443126711,44881.80582651931,28800.184244007145,-35218.90563925935,0.013637159818515432
274,38767.96364272919,45090.53876535553,28604.4184172532,-34926.99353987954,0.02213149540298992
276,38374.50157476458,45138.95781916981,28522.582547395115,-35287.03879180034,0.022012928374109286
278,38193.964488613965,44825.24099940602,28580.68633583676,-35211.96284662882,0.022844508367595384
280,38372.15157214484,44913.879676140044,28789.451846326712,-35331.17995032192,0.017991178055193735
282,38096.52952556493,45013.71832927055,28595.204660017553,-35512.39346372318,0.016616576961413915
284,37769.56763480036,44818.96709978535,28695.89393493332,-35745.29339991831,0.019711464122835226
286,38280.80226999398,44931.96306711877,28849.709271418677,-35500.87006854347,0.015747071077728686
288,38283.244191002486,45151.42555680364,28544.759170294787,-35412.94053609594,0.027065818101427636
290,37836.86492072449,44751.915223558084,28471.29535491743,-35386.345657751015,0.02283722224714127
292,38365.00114152092,45036.257979654714,28713.70266087468,-35384.959499008466,0.016495057236005806
294,37940.045423181946,44857.69767533844,28565.832857541096,-35483.48510969759,0.022848154173093688
296,37978.16343288984,45083.600995252906,28610.483027574683,-35715.92058993775,0.013962310832737329
