# Cluster list (11 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 13804 17.0143017966 16.8526217763 16.7161312663 
2 56 37.9784464286 37.8184107143 3.9723928571 
3 28 43.8298928571 14.8501428571 32.3019285714 
4 14 33.2485 36.0917857143 8.538 
5 14 41.4607857143 -1.3165714286 4.2681428571 
6 14 -3.3038571429 5.3693571429 28.0009285714 
7 14 8.0718571429 -4.7650714286 43.0294285714 
8 14 -3.3867857143 0.8476428571 18.8792857143 
9 14 -9.6483571429 12.9764285714 4.3301428571 
10 14 -4.5277857143 41.4587142857 30.1135714286 
11 14 41.7275714286 10.7671428571 0.0639285714 
