# Cluster list (10 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 13874 15.7436422805 15.4505896641 15.2760398587 
2 14 25.7500714286 33.5507857143 -1.7895714286 
3 14 30.9027142857 36.7615 4.6742142857 
4 14 -11.2484285714 3.3882857143 24.5771428571 
5 14 5.2934285714 36.464 3.061 
6 14 6.2319285714 -1.8996428571 36.8932142857 
7 14 -9.5235 38.6307142857 28.5366428571 
8 14 25.2051428571 28.9580714286 35.085 
9 14 32.9146428571 33.7511428571 11.4773571429 
10 14 36.9251428571 40.2673571429 9.0311428571 
