# Cluster list (74 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 12180 25.97871289 25.4889062397 26.1307619048 
2 126 29.9760634921 8.7773809524 55.591547619 
3 84 7.3674761905 2.5976428571 -2.9145595238 
4 70 3.8060714286 19.5976571429 54.5588857143 
5 70 18.6248857143 49.7191571429 42.8142857143 
6 70 30.4922857143 42.4917428571 -1.6170571429 
7 56 47.3325535714 52.7305 28.1361428571 
8 56 1.6347857143 -4.1608392857 8.1427142857 
9 56 59.6187142857 1.1368571429 18.9120357143 
10 56 32.7896785714 -2.1049464286 17.8746964286 
11 56 -7.0125 45.284 47.2559821429 
12 42 39.8960714286 59.6473571429 12.1587142857 
13 42 42.0068095238 45.4808571429 -4.5492619048 
14 42 1.7982619048 52.2597142857 47.9037142857 
15 42 56.8140714286 51.1650714286 19.6080714286 
16 28 56.1750357143 0.9618928571 46.1001428571 
17 28 -7.5138571429 21.6711785714 7.3063571429 
18 28 24.3737142857 28.6095357143 57.70375 
19 28 7.7078571429 50.7074642857 -3.6322857143 
20 28 4.2476071429 1.5758214286 21.7939642857 
21 28 43.0066785714 16.6252142857 -4.3169642857 
22 28 29.5784285714 56.9274285714 -1.4298214286 
23 28 -3.7923571429 46.2245357143 24.4110357143 
24 28 56.74425 21.8142857143 15.2288571429 
25 14 26.0888571429 54.7037857143 24.6821428571 
26 14 26.3564285714 40.8186428571 -13.5004285714 
27 14 66.6244285714 53.9790714286 12.4222142857 
28 14 62.2956428571 18.6375714286 38.5982857143 
29 14 56.318 49.7048571429 7.412 
30 14 22.1512142857 -2.5125 -11.2307142857 
31 14 19.5934285714 -6.0856428571 -1.1587857143 
32 14 49.1885 -1.1907857143 18.7705714286 
33 14 38.2191428571 57.5930714286 -6.7108571429 
34 14 27.1302142857 -13.7355 20.5807142857 
35 14 7.6855 50.1324285714 22.3607142857 
36 14 51.6775 -0.0973571429 37.0433571429 
37 14 22.4329285714 51.0514285714 -7.8564285714 
38 14 9.8788571429 54.6977142857 7.0364285714 
39 14 28.3317142857 13.9492857143 -2.065 
40 14 48.8298571429 65.0499285714 33.4622857143 
41 14 4.4265714286 24.9244285714 51.118 
42 14 17.4287857143 16.458 58.1720714286 
43 14 25.3691428571 3.2176428571 2.9002857143 
44 14 43.9113571429 53.6551428571 14.329 
45 14 -7.9533571429 10.2030714286 11.2725714286 
46 14 -8.2503571429 22.5579285714 33.7641428571 
47 14 -3.5012142857 60.1770714286 15.2838571429 
48 14 26.731 8.5928571429 -9.9758571429 
49 14 54.7175 30.9070714286 3.5276428571 
50 14 21.5955 64.9764285714 29.5155714286 
51 14 0.1998571429 9.1234285714 22.917 
52 14 31.4962142857 57.7358571429 53.9751428571 
53 14 50.4429285714 11.3541428571 52.8033571429 
54 14 20.3826428571 -4.9944285714 52.3007857143 
55 14 -10.5007142857 26.8021428571 -3.6341428571 
56 14 47.1108571429 -8.9979285714 25.9218571429 
57 14 22.3449285714 -0.949 25.0147142857 
58 14 17.2516428571 53.6443571429 28.3839285714 
59 14 53.6934285714 21.4971428571 50.4059285714 
60 14 64.6395 40.3787857143 13.8842857143 
61 14 26.5015714286 -5.357 36.9906428571 
62 14 19.3461428571 28.1393571429 59.4298571429 
63 14 12.9721428571 44.9415714286 -9.9510714286 
64 14 56.3133571429 18.6589285714 43.9952142857 
65 14 21.2225 42.5572142857 52.449 
66 14 42.3715714286 -12.801 -6.4825714286 
67 14 9.7097857143 24.0778571429 69.0613571429 
68 14 43.0275714286 8.5537857143 -10.8945 
69 14 29.3855 60.8774285714 29.6361428571 
70 14 55.5182857143 57.2133571429 13.0625714286 
71 14 9.511 -11.4862857143 0.151 
72 14 -10.8804285714 20.9082142857 23.0732142857 
73 14 26.2402857143 -13.9785714286 33.9098571429 
74 14 49.5898571429 -3.3920714286 10.4739285714 
