# Cluster list (21 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 13552 20.5845965909 20.3203748524 20.3742883707 
2 98 38.0015816327 19.2595816327 -5.2701326531 
3 42 -7.1477857143 -1.0681428571 16.7407857143 
4 42 45.7682857143 4.0370952381 33.5516666667 
5 28 -6.851 9.2251785714 28.7000714286 
6 28 3.7012142857 43.7771071429 43.6350357143 
7 14 15.7007857143 43.7507857143 17.1186428571 
8 14 35.3116428571 47.7437142857 -8.8351428571 
9 14 0.2476428571 45.2926428571 36.2225714286 
10 14 18.0429285714 30.0734285714 47.9123571429 
11 14 4.6921428571 0.3964285714 29.5879285714 
12 14 33.4543571429 46.5420714286 38.6544285714 
13 14 12.7628571429 46.8431428571 45.9140714286 
14 14 20.4587857143 -7.8826428571 46.0851428571 
15 14 29.1802857143 44.042 -2.9618571429 
16 14 51.483 43.9654285714 25.7911428571 
17 14 -5.5922142857 17.1289285714 11.6077857143 
18 14 33.2017857143 -0.3215714286 -5.0782142857 
19 14 30.2362142857 -7.1776428571 23.8432142857 
20 14 -1.1113571429 50.3711428571 6.0365714286 
21 14 42.8111428571 7.5117142857 -1.8372857143 
