# Cluster list (141 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 4182 43.5530650407 29.3490791487 60.0402984218 
2 1802 71.6829139845 49.1719278579 50.0496803552 
3 1530 43.1212039216 25.5763601307 20.7029392157 
4 1428 75.3122864146 23.8542030812 67.5728445378 
5 1360 32.1874485294 10.6344977941 61.8120683824 
6 816 28.2823137255 22.7215392157 80.3110955882 
7 816 11.8898529412 48.431682598 80.1437022059 
8 816 73.5676311275 70.3254289216 38.8518676471 
9 782 55.0334194373 77.0814296675 71.8704667519 
10 680 23.4332573529 70.6879 6.6001544118 
11 680 6.5557676471 52.3077691176 14.3039544118 
12 612 2.5654052288 71.3842058824 69.3614640523 
13 612 82.3216584967 20.7305473856 19.6173562092 
14 612 27.8918300654 82.357245098 65.8680849673 
15 578 2.8853581315 66.6877698962 26.7890069204 
16 476 48.0113046218 41.7200735294 17.5968235294 
17 476 16.2403004202 70.5531323529 49.8574306723 
18 442 53.0633823529 70.2172443439 50.8695791855 
19 442 35.7105565611 7.9301289593 18.9403438914 
20 442 45.2632533937 51.5305904977 40.077918552 
21 408 64.5252622549 52.795497549 81.3426666667 
22 374 47.8793636364 45.9587352941 70.1434518717 
23 340 80.2220852941 70.8203411765 71.3326617647 
24 340 66.6245470588 24.7919617647 32.3669117647 
25 340 10.0950058824 15.9155088235 38.8299794118 
26 340 85.1161764706 68.4343764706 11.6057588235 
27 340 74.9813676471 83.6314882353 42.4715352941 
28 306 27.957369281 61.3867287582 66.0356862745 
29 306 59.0608496732 69.1075686275 -1.3708660131 
30 306 -0.0617222222 26.8639117647 65.4033267974 
31 306 49.5509215686 6.4043496732 -4.438369281 
32 306 11.3766993464 48.2163856209 55.6976078431 
33 306 7.8376372549 34.7408562092 10.4610915033 
34 306 16.0577287582 -2.4433267974 16.9532614379 
35 306 28.4810294118 39.5100784314 35.5316437908 
36 272 48.4372316176 3.7327169118 47.4388125 
37 272 15.9790661765 22.6256397059 6.6271176471 
38 272 10.0597794118 58.0698161765 42.9117830882 
39 238 43.3074201681 74.4355462185 4.793512605 
40 238 0.9371722689 9.1661848739 84.4285840336 
41 204 63.89825 12.0074607843 16.5121470588 
42 204 70.2621176471 38.5173088235 4.6049362745 
43 204 56.9506323529 77.0860931373 10.4432794118 
44 204 6.2748137255 84.2359362745 63.9985735294 
45 204 73.3692745098 7.9516372549 36.9727401961 
46 170 81.5583764706 87.5908705882 61.9814941176 
47 170 56.0365235294 81.7647294118 32.6938647059 
48 170 68.2516823529 19.1692470588 4.0108235294 
49 170 30.6762470588 50.3063176471 7.9142882353 
50 170 79.1042117647 49.5695294118 80.8395058824 
51 170 15.9498176471 6.9500411765 4.6764588235 
52 136 75.2743529412 91.9721544118 9.3755073529 
53 136 79.9046470588 46.8146176471 22.8788823529 
54 136 52.8075882353 90.9095735294 23.0252132353 
55 136 25.9490073529 -1.0241029412 32.640375 
56 136 68.7380367647 81.3774411765 18.8394852941 
57 136 23.6632058824 16.7585147059 31.7498897059 
58 136 41.4839558824 76.5923382353 47.5323676471 
59 136 7.6615661765 82.7196544118 14.3606985294 
