# Radial distribution function (200 data points):
# "Pair separation distance" 0-0 0-1 1-1
0.00625 0.0 0.0 0.0 
0.01875 0.0 0.0 0.0 
0.03125 0.0 0.0 0.0 
0.04375 0.0 0.0 0.0 
0.05625 0.0 0.0 0.0 
0.06875 0.0 0.0 0.0 
0.08125 0.0 0.0 0.0 
0.09375 0.0 0.0 0.0 
0.10625 0.0 0.0 0.0 
0.11875 0.0 0.0 0.0 
0.13125 0.0 0.0 0.0 
0.14375 0.0 0.0 0.0 
0.15625 0.0 0.0 0.0 
0.16875 0.0 0.0 0.0 
0.18125 0.0 0.0 0.0 
0.19375 0.0 0.0 0.0 
0.20625 0.0 0.0 0.0 
0.21875 0.0 0.0 0.0 
0.23125 0.0 0.0 0.0 
0.24375 0.0 0.0 0.0 
0.25625 0.0 0.0 0.0 
0.26875 0.0 0.0 0.0 
0.28125 0.0 0.0 0.0 
0.29375 0.0 0.0 0.0 
0.30625 0.0 0.0 0.0 
0.31875 0.0 0.0 0.0 
0.33125 0.0 0.0 0.0 
0.34375 0.0 0.0 0.0 
0.35625 0.0 0.0 0.0 
0.36875 0.0 0.0 0.0 
0.38125 0.0 0.0 0.0 
0.39375 0.0 0.0 0.0 
0.40625 0.0 0.0 0.0 
0.41875 0.0 0.0 0.0 
0.43125 0.0 0.0 0.0 
0.44375 0.0 0.0 0.0 
0.45625 0.0 0.0 0.0 
0.46875 0.0 0.0 0.0 
0.48125 0.0 0.0 0.0 
0.49375 0.0 0.0 0.0 
0.50625 0.0 0.0 0.0 
0.51875 0.0 0.0 0.0 
0.53125 0.0 0.0 0.0 
0.54375 0.0 0.0 0.0 
0.55625 0.0 0.0 0.0 
0.56875 0.0 0.0 0.0 
0.58125 0.0 0.0 0.0 
0.59375 0.0 0.0 0.0 
0.60625 0.0 0.0 0.0 
0.61875 0.0 0.0 0.0 
0.63125 0.0 0.0 0.0 
0.64375 0.0 0.0 0.0 
0.65625 0.0 0.0 0.0 
0.66875 0.0 0.0 0.0 
0.68125 0.0 0.0 0.0 
0.69375 0.0 0.0 0.0 
0.70625 0.0 0.0 0.0 
0.71875 0.0 0.0 0.0 
0.73125 0.0 0.0 0.0 
0.74375 0.0 0.0 0.0 
0.75625 0.0 0.0 0.0 
0.76875 0.0 0.0 0.0 
0.78125 0.0 0.0 0.0 
0.79375 0.0 0.0 0.0 
0.80625 0.0 0.0 0.0 
0.81875 0.0 0.0 0.0 
0.83125 0.0 0.0 0.0 
0.84375 0.0 0.0 0.0 
0.85625 0.0 0.0 0.0 
0.86875 0.0 0.0 0.0 
0.88125 0.0 0.0 0.0 
0.89375 0.0420352728 0.0 0.0 
0.90625 0.081767389 0.0 0.0 
0.91875 0.2187833889 0.0 0.0 
0.93125 0.5807714061 0.0 0.0 
0.94375 1.2817747081 0.0 0.0 
0.95625 2.3133669574 0.0 0.0 
0.96875 3.5063048967 0.0 0.0 
0.98125 6.12019088 0.0 0.0 
0.99375 8.3472716272 0.0 0.0 
1.00625 10.2137777637 0.0 0.0 
1.01875 14.1058368447 0.0296567671 0.0 
1.03125 14.8868055515 0.0578843623 0.0 
1.04375 16.8439932101 0.1412655728 0.0 
1.05625 17.9374542473 0.193118565 0.0 
1.06875 18.5345029503 0.4311488923 0.0 
1.08125 19.6306418713 0.5002199648 0.0 
1.09375 19.5213269116 0.6174970411 0.1886796514 
1.10625 19.0003520831 1.1066390383 0.0 
1.11875 18.7927607144 1.1558240887 0.3606826943 
1.13125 17.2646329463 1.1544739356 0.5291338872 
1.14375 16.4273116416 1.4352507958 2.0705257382 
1.15625 15.0945374703 2.0029773099 3.8831667388 
1.16875 15.4616670506 2.2532901107 3.9657905948 
1.18125 13.8487536995 1.9411516914 9.5439958163 
1.19375 13.1007787827 1.6631234456 10.7707042191 
1.20625 12.103751886 1.734601875 16.2883346797 
1.21875 11.268994249 1.9271449543 16.8676988475 
1.23125 10.6648102637 1.7257870537 16.824731826 
1.24375 10.2019002757 1.9499376768 17.9473855559 
1.25625 9.3615983209 1.3847364183 22.0257604938 
1.26875 8.8860148515 1.5105529941 20.7525761556 
1.28125 8.1816679325 1.4624731429 22.5495858962 
1.29375 8.0945459747 1.3607931482 17.2612320056 
1.30625 7.7337421541 1.3168352311 19.4458682069 
1.31875 6.7769140666 1.4689749627 15.9640411607 
1.33125 6.2713150739 1.5109890548 16.5571980719 
1.34375 6.127289381 1.3295939021 16.7506103564 
1.35625 6.233919509 0.9705321246 13.2527834949 
1.36875 5.9771976166 1.2978972336 13.0118304937 
1.38125 5.5703082314 0.9679840529 11.2393703915 
1.39375 5.332557605 0.9506990868 9.1795278491 
1.40625 5.5353199485 0.9494375474 9.5877627738 
1.41875 5.1963279409 1.19273659 8.2981844806 
1.43125 4.966631375 0.9766615603 7.1621847753 
1.44375 4.6071503453 1.0927215563 5.9558246985 
1.45625 4.8134016158 1.0305007297 6.1733283149 
1.46875 4.7629509053 0.8846221453 6.1733308847 
1.48125 4.3691793026 0.9960096425 4.9379632982 
1.49375 4.5220896142 0.9242318485 6.0695822886 
1.50625 4.5213451495 0.9089556397 5.2728471438 
1.51875 4.425390602 1.0541843292 4.7949818858 
1.53125 4.4107166642 0.8401365075 5.005813357 
1.54375 4.4804730051 0.9557403108 3.788520151 
1.55625 4.3810587586 0.8769049572 4.9394743001 
1.56875 4.3115196152 0.9630424879 4.5859166089 
1.58125 4.2839106437 0.9724969565 3.5206851842 
1.59375 3.959198388 1.066361725 3.9099929916 
1.60625 4.2492058585 0.8470213822 4.9866892643 
1.61875 4.7156238643 0.9397076541 3.6178744684 
1.63125 4.4543525779 0.9716293159 4.4108886402 
1.64375 4.2190941138 1.0708255556 4.0934395354 
1.65625 4.406580577 0.9761800028 3.2913348754 
1.66875 4.6904884657 0.8842394708 4.2148748109 
1.68125 4.5319071779 0.8929183649 3.912869908 
1.69375 4.7520226836 0.9656203729 4.1700494623 
1.70625 4.3597098597 0.8986615341 3.1012633335 
1.71875 4.4272412117 0.9377340179 3.7439898936 
1.73125 4.5483893415 0.9755884364 4.1419719579 
1.74375 5.0410794243 1.0831234908 3.4889398426 
1.75625 4.6647607852 0.9380324099 4.2444303372 
1.76875 4.8137196471 1.2986846762 3.391009988 
1.78125 4.973926691 1.0282976102 4.2684051745 
1.79375 5.3222791532 1.1192439984 3.5777543196 
1.80625 5.5267509088 1.0000297268 4.2202512371 
1.81875 5.4713450211 1.1072960162 4.1624404865 
1.83125 5.4069189217 1.0096252925 4.7115846982 
1.84375 5.378302349 1.077471346 4.3159216381 
1.85625 6.0808329707 1.3131285942 3.0133472502 
1.86875 5.6391941228 1.1810417927 3.3609746539 
1.88125 5.9108029589 1.1480050691 4.1455738605 
1.89375 6.2215869626 1.2530560148 3.8392720819 
1.90625 6.1679814591 1.0587983154 3.1679245597 
1.91875 6.1380412354 1.2456970759 3.3720211674 
1.93125 6.2298938069 1.1470987031 4.2362877765 
1.94375 6.1455808152 1.2464464343 4.7794024497 
1.95625 6.3875490922 1.3753410992 3.8337968262 
1.96875 6.479955982 1.1276393988 4.1929126942 
1.98125 6.4925430095 1.2153915054 3.9676651724 
1.99375 6.70281398 1.1382535398 4.0884208775 
2.00625 6.5528125404 1.4988185696 3.7011642229 
2.01875 6.5007519568 1.4954201269 3.4339276989 
2.03125 6.8360340611 1.3800921939 3.7747386492 
2.04375 6.9616800097 1.4885347365 3.4585097508 
2.05625 6.9328872099 1.4049751381 3.5767415433 
2.06875 6.837590806 1.503119264 4.377505225 
2.08125 6.8758575672 1.5774938162 3.699767779 
2.09375 6.9242151022 1.214673796 3.7587015731 
2.10625 6.8195660331 1.6651548582 3.6124609564 
2.11875 6.9113731192 1.6661345912 3.9219299843 
2.13125 6.6605150268 1.5111212875 4.7208422884 
2.14375 6.8570581242 1.4265749587 3.6836442596 
2.15625 6.6152931105 1.5491052098 3.8352490807 
2.16875 6.5606728783 1.5901957385 4.4150290461 
2.18125 6.4856945805 1.5978991816 3.4157520968 
2.19375 6.6910800183 1.4070571467 4.1742695353 
2.20625 6.3257465536 1.6820369335 4.9617981722 
2.21875 6.3024170856 1.7506714127 3.4846697643 
2.23125 6.3028179333 1.5703650175 3.9897987845 
2.24375 6.3461713869 1.5773720788 4.3041470678 
2.25625 5.6494331901 1.5720353107 5.0103586955 
