# Cluster list (134 data points):
# "Cluster Identifier" "Cluster Size"
1 7950 
2 30 
3 60 
4 10 
5 20 
6 20 
7 10 
8 10 
9 10 
10 10 
11 30 
12 30 
13 30 
14 30 
15 30 
16 10 
17 10 
18 100 
19 30 
20 30 
21 10 
22 10 
23 10 
24 20 
25 30 
26 10 
27 10 
28 20 
29 60 
30 20 
31 10 
32 10 
33 10 
34 20 
35 10 
36 10 
37 30 
38 30 
39 10 
40 10 
41 10 
42 20 
43 10 
44 10 
45 20 
46 10 
47 10 
48 10 
49 20 
50 10 
51 10 
52 10 
53 20 
54 30 
55 10 
56 20 
57 30 
58 30 
59 10 
60 20 
61 10 
62 10 
63 10 
64 10 
65 10 
66 10 
67 20 
68 10 
69 20 
70 10 
71 10 
72 10 
73 10 
74 10 
75 10 
76 10 
77 10 
78 10 
79 10 
80 30 
81 10 
82 10 
83 10 
84 20 
85 10 
86 10 
87 10 
88 10 
89 10 
90 10 
91 20 
92 10 
93 10 
94 10 
95 10 
96 10 
97 10 
98 20 
99 20 
100 10 
101 10 
102 10 
103 20 
104 10 
105 10 
106 10 
107 10 
108 10 
109 10 
110 10 
111 20 
112 10 
113 10 
114 10 
115 10 
116 20 
117 10 
118 10 
119 10 
120 20 
121 10 
122 10 
123 10 
124 10 
125 20 
126 10 
127 10 
128 10 
129 10 
130 10 
131 10 
132 10 
133 10 
134 10 
