# Cluster list (122 data points):
# "Cluster Identifier" "Cluster Size"
1 594 
2 836 
3 220 
4 330 
5 968 
6 1452 
7 110 
8 1188 
9 462 
10 330 
11 44 
12 154 
13 110 
14 154 
15 88 
16 660 
17 110 
18 110 
19 440 
20 88 
21 1012 
22 506 
23 176 
24 396 
25 990 
26 110 
27 110 
28 154 
29 198 
30 968 
31 154 
32 242 
33 110 
34 132 
35 44 
36 154 
37 308 
38 110 
39 198 
40 902 
41 110 
42 220 
43 352 
44 22 
45 44 
46 220 
47 176 
48 198 
49 396 
50 110 
51 44 
52 352 
53 242 
54 22 
55 286 
56 44 
57 66 
58 88 
59 132 
60 88 
61 44 
62 44 
63 22 
64 308 
65 22 
66 154 
67 176 
68 22 
69 88 
70 22 
71 154 
72 88 
73 66 
74 198 
75 44 
76 22 
77 176 
78 22 
79 44 
80 110 
81 110 
82 66 
83 44 
84 66 
85 22 
86 22 
87 44 
88 88 
89 66 
90 22 
91 22 
92 66 
93 66 
94 88 
95 22 
96 66 
97 22 
98 44 
99 22 
100 22 
101 22 
102 22 
103 22 
104 22 
105 44 
106 22 
107 22 
108 22 
109 22 
110 22 
111 44 
112 22 
113 44 
114 22 
115 22 
116 22 
117 22 
118 22 
119 22 
120 22 
121 22 
122 22 
