# Cluster list (11 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 17784 18.4110576361 18.4318975484 18.1921497976 
2 54 -3.8984074074 0.0908518519 -2.9982037037 
3 18 28.5216111111 -6.8848333333 21.7430555556 
4 18 -0.0432777778 44.0721666667 26.484 
5 18 44.0143333333 -0.5847222222 21.0000555556 
6 18 -5.9225 37.9932222222 36.912 
7 18 3.7191111111 44.1281666667 40.9331111111 
8 18 35.4811111111 27.9385 -9.4685555556 
9 18 39.4218333333 33.5798888889 -2.6077777778 
10 18 45.6305 0.2583888889 23.743 
11 18 38.5584444444 -4.9641666667 23.8007777778 
