Step,Total,Kinetic,Bonded,Non-Bonded,Pressure
70,37226.164348011545,51363.60925783628,25768.23973490524,-39905.684644729976,3.87640465642217
72,36236.76262024305,50771.57836851228,25683.363870311194,-40218.179618580434,3.852063878885099
74,36177.79541666754,51003.2035176054,25824.575809208887,-40649.983910146744,3.7998103758075166
76,36080.53555459345,50868.818503907976,25873.302206877474,-40661.58515619199,3.827593681299596
78,36352.880247603985,51325.07536171882,25736.140357213848,-40708.33547132868,3.832701019911999
80,36930.45209399458,51492.883802359655,25882.30507138699,-40444.73677975205,3.860872729625333
82,35592.87910411814,50696.453302714544,25761.013722479278,-40864.587921075676,3.8161794628886905
84,35458.750704906546,50679.73749971357,25854.923248002146,-41075.91004280916,3.8264760509581364
86,35761.752732942616,50818.379573301194,26198.602326490614,-41255.22916684918,3.7503111699775817
88,35810.19368610073,51381.168261010775,25846.36503557399,-41417.339610484036,3.7666019111123608
90,35173.94033665741,51096.259066763865,25702.476840738822,-41624.79557084528,3.7870063965420235
92,35369.780737326786,50911.54127510566,25943.956788115225,-41485.7173258941,3.8072164721833714
94,35329.725287464644,51420.870712955104,25971.09462304506,-42062.240048535525,3.7333586345018115
96,35273.28044574023,51047.81630852768,25811.226959065974,-41585.76282185342,3.7781721573444718
98,34567.34611588532,50919.00669624507,25682.534163691467,-42034.194744051216,3.767945695290788
100,34722.60692019421,50774.46635043969,25920.75107003619,-41972.61050028168,3.7366712134609728
102,34844.98114827054,51192.229573068245,25906.435038951433,-42253.683463749134,3.7596889124838877
104,34266.229248567644,50781.77034470077,25858.853636700733,-42374.394732833855,3.7640075515566993
106,34433.312143232484,51039.80361865206,26095.52843302091,-42702.01990844049,3.6736912471814636
108,33945.93451653182,50712.21310085012,25901.644129610704,-42667.922713929,3.721104435914655
110,34583.58870319679,51103.61096059633,26048.44004083782,-42568.46229823737,3.7355382740797087
112,34082.32569348883,51018.69796574518,25746.729639215144,-42683.101911471495,3.748203463682426
114,34375.7078524356,51180.11420437839,25927.024875123294,-42731.431227066074,3.740863592059122
116,34308.38331706119,51219.244664168305,25901.56579653876,-42812.42714364588,3.7274212387329566
118,34212.80115986565,51408.52340895374,25889.35129377485,-43085.07354286293,3.70640558759947
120,33972.94976294304,51065.635251483545,25839.516436255595,-42932.2019247961,3.7008901249053787
122,33542.70379376413,50498.016794283925,25898.47184458812,-42853.78484510792,3.713254256897261
124,33828.4993771677,50906.85526095923,25940.742556243786,-43019.098440035326,3.7221169874831355
126,33617.939881573875,50813.929256838215,25928.812132186027,-43124.80150745038,3.702499006593776
128,33862.580546539284,51037.726814383845,25804.581153616135,-42979.727421460695,3.729738578711831
130,33499.7479102081,50868.7465033224,25815.102433025415,-43184.10102613972,3.7299338624514453
132,33630.46634947272,51084.95657356205,25983.155286678993,-43437.64551076832,3.6992244248373547
134,33723.44807970669,50978.29229789472,25859.261818558592,-43114.10603674661,3.7417850357071143
136,33539.87642307868,51263.297960079064,25779.718768498875,-43503.140305499255,3.7003926219244043
138,32857.30991981975,50570.08503346936,25807.463033605596,-43520.23814725519,3.708146020721652
140,33623.67409218259,51191.58826817489,26056.623367628552,-43624.53754362085,3.665296312747384
142,33207.01537737844,51370.48172034335,25725.658715808408,-43889.12505877332,3.6921507050808025
144,32721.621182851,50954.624555624825,25855.938204358194,-44088.94157713202,3.6485924932675218
146,32398.917116144938,50606.11014413947,25944.101987218797,-44151.29501521334,3.6592312773029203
148,32827.29098161403,51230.020400664194,25758.469106315035,-44161.198525365195,3.647561254076446
150,33298.69056482112,51284.019076303,26067.556556413656,-44052.885067895535,3.673481769313512
152,32994.330114576456,51104.771489148625,25895.62934220664,-44006.070716778806,3.667745724093501
154,32472.439557630187,51094.67814465158,25778.975308720317,-44401.213895741705,3.645532828815508
156,31863.573194146516,50905.24284376773,25739.95074090811,-44781.62039052932,3.6010323964248254
158,32358.136061495417,50894.62648918109,25832.714115816274,-44369.20454350195,3.6479612421850796
160,32047.666716598636,50926.3845900599,25828.81325347847,-44707.531126939735,3.658047264892671
162,32006.144157371786,50827.16692460414,25893.309486480874,-44714.33225371324,3.65930991883112
164,31879.248240988076,50906.26345817674,25678.382235370893,-44705.397452559555,3.6516770241366237
166,32229.71692369467,50878.137315788954,26140.51026305375,-44788.93065514804,3.6302925383462767
168,32517.77789062314,51551.8123586788,25999.27459347299,-45033.30906152865,3.6276337723530254
170,31767.143748118906,50666.53300600044,25844.857551083624,-44744.24680896515,3.6319804271680884
172,32376.904496427913,51361.31764283574,25984.403075683123,-44968.81622209095,3.6501842381739866
174,31887.243204507744,51196.971093304724,25716.04120046051,-45025.76908925749,3.6428064336451325
176,31563.047914638708,50823.85830249596,25916.63099150661,-45177.44137936385,3.595865798435617
178,31528.076417062854,51017.75012391163,25819.95571747507,-45309.62942432385,3.602787318082055
180,31346.55349509082,50902.01328533744,25589.30684675861,-45144.76663700523,3.616866610250978
182,32360.77521051659,51454.158194211974,25916.26850031913,-45009.651484014525,3.649354894528661
184,32032.403278257858,51394.31749574086,25987.96349497655,-45349.87771245955,3.572312411361068
186,31543.135425514647,51132.358672914,25733.328641749184,-45322.55188914854,3.608627291048554
188,31778.398578947843,51079.98747201766,25801.705903077338,-45103.29479614715,3.6524275170693836
190,31254.667707067365,50795.46365337262,25920.28773736738,-45461.08368367264,3.5778096768752725
192,31347.947449473973,50954.430830185884,25745.56316987596,-45352.04655058788,3.617210798970477
194,31399.523283886774,50912.746812418234,26068.22566718071,-45581.44919571218,3.593472733284295
196,30741.55167497212,50906.23783368131,25725.170460789264,-45889.85661949845,3.579932032840687
198,30654.436235577334,51084.4271926019,25796.63411821124,-46226.6250752358,3.535100588524591
200,30717.69674534705,50754.365156127424,25879.066007285477,-45915.73441806584,3.5795298158694258
202,31160.7696308988,50952.11429690985,25923.180771428437,-45714.525437439486,3.5905753190669625
204,30869.722251207095,51222.6360326533,25840.91937298272,-46193.83315442894,3.55339182467569
206,30671.98181758794,50843.58687036661,26001.067550794236,-46172.67260357289,3.548782209265306
208,30981.966718279695,51013.51908486637,26010.14470972208,-46041.697076308745,3.5602101765608003
210,31035.593998154895,51270.08967197846,26005.488959217444,-46239.984633041015,3.5478343044529552
212,30332.453270107417,50678.41326349306,25900.618179402827,-46246.57817278847,3.5242196303866193
214,30350.25672648063,50649.91500392885,25915.06087841145,-46214.71915585967,3.5658101025537374
216,30430.289816098117,51049.69079116615,25830.84543456245,-46450.24640963048,3.5550264365900444
218,30509.683466737435,50615.643996798266,26023.03314352917,-46128.99367359,3.5647709921581927
220,30752.405355512194,50975.96014363558,26053.552275812865,-46277.107063936244,3.565195058508031
222,30550.292977920635,50772.95896964713,26118.54493084411,-46341.21092257061,3.5554962482572003
224,30389.7692071302,51171.66732243328,25977.359504524808,-46759.257619827884,3.525776385910019
226,30747.331574100743,51161.68832665557,26066.874675605093,-46481.231428159925,3.556883882460952
228,30085.224533248907,50873.17718599366,25825.508720513782,-46613.46137325854,3.5642226785531617
230,30742.857949717563,51157.89604647085,26198.74813121921,-46613.786227972494,3.515680770440567
232,29857.428889533556,50701.59689732452,25763.17350776002,-46607.34151555098,3.538345275012386
234,30165.4272390199,51002.435268206435,25979.288710982124,-46816.29674016866,3.5224907906327476
236,30144.369928248885,51220.83270641306,25977.257043074012,-47053.719821238185,3.5058626271613753
238,30002.637375938986,51058.2329912711,26035.5301330777,-47091.12574840981,3.49090500690668
240,30036.890698791045,50824.926819499866,25832.419561237428,-46620.455681946245,3.5280825534913083
242,30454.751414777376,51079.05687336557,25990.252858182146,-46614.558316770344,3.5500576302412674
244,29974.660427872506,50635.66987145792,26200.19003194268,-46861.19947552809,3.5129656793311943
246,29688.73668454702,50951.55299390391,25848.26454753359,-47111.080856890476,3.5159257889095334
248,30108.715793890104,51161.96227996819,25923.730029734434,-46976.97651581253,3.526667079687066
250,29855.104094060487,50777.440315070795,26104.225005149907,-47026.56122616021,3.5367825852872325
252,30120.431978127483,50890.80596453009,25794.451157932155,-46564.825144334754,3.593359377556494
254,29557.493708827606,50627.79689160494,25859.491643585723,-46929.79482636305,3.528257419993458
256,29730.59500760598,50987.43444459826,25926.49874465872,-47183.338181650994,3.5115587857280746
258,30032.509407348065,51234.119258138046,25908.020413441245,-47109.63026423124,3.5182949243875994
260,30369.176007362483,51125.20332474885,26022.90554469009,-46778.93286207644,3.5300067691808446
262,29261.586757704827,50629.03926610255,26035.63100714262,-47403.08351554034,3.4926066490545935
264,29552.348561057224,51067.55126031448,26103.557122563034,-47618.75982182029,3.4824849835734737
266,29594.963437374623,50977.864373308315,26181.41543231569,-47564.31636824939,3.49929325759262
268,29737.422960181455,50912.83464756033,26076.45366824721,-47251.86535562608,3.5266783224217075
270,29111.018809872367,50991.71542057697,25715.554609199182,-47596.251219903774,3.516612472934116
272,28863.047323746854,50437.74869457141,26223.67928963929,-47798.38066046385,3.459468634347296
274,29122.27896939301,51052.3369108143,25788.604101069006,-47718.66204249029,3.4655826587427843
276,29487.723008088928,51287.13849730939,25904.67255845082,-47704.088047671285,3.5184826959636517
278,29854.558293403952,51061.622280256895,26207.055162888704,-47414.119149741644,3.52256863439359
280,29649.10974974698,51340.70777249663,26135.594653538443,-47827.192676288105,3.4982065465161885
282,29560.051897649188,51253.52169417366,25902.222734568662,-47595.69253109314,3.514207540610344
284,29366.26461121745,51043.67440469272,25977.397569643923,-47654.80736311919,3.4860145658380075
286,29043.30972021436,50799.8582629217,25954.261060737947,-47710.80960344528,3.505445930785499
288,29146.978350678044,51041.667856614375,26086.10403573554,-47980.79354167188,3.4916640991282653
290,28827.80213963645,50695.63882792967,26016.53946168822,-47884.37614998144,3.4698749241749045
292,29100.259684658165,50797.85426010538,26114.05407654651,-47811.64865199373,3.4806106205642364
294,29464.218751163873,51491.95486168932,25969.67132723515,-47997.4074377606,3.4946662942112727
296,28718.622769046706,50756.255544562184,26024.91114504643,-48062.543920561904,3.491414022360287
298,28867.3863847463,51110.74794337846,25948.95506271527,-48192.31662134745,3.4715363775777424
300,29211.720069987423,51163.098070262,26195.650019525623,-48147.02801980019,3.4501787821475824
302,28678.89011825071,50610.89641913315,25934.967771515927,-47866.974072398356,3.4709086058153273
304,28938.933949557955,50927.810783227585,26075.399651163025,-48064.27648483266,3.462749806801477
306,28901.797332327562,51068.00247349081,25994.774711469316,-48160.97985263256,3.4395909715253272
308,29137.35892365637,51149.86503474337,26206.119237632163,-48218.62534871915,3.428474246641795
310,28940.704785550864,51166.056767807204,26070.763636848314,-48296.11561910465,3.440329125515822
312,28254.622059406065,50583.158710339856,26168.19595940551,-48496.73261033931,3.4260677605830727
314,28577.852963763573,50950.33210269571,25914.71492197103,-48287.19406090317,3.486773842543776
316,28724.42914871407,51097.23556698691,26226.889274867135,-48599.69569313996,3.444651123051519
318,28960.914819709007,51418.731856516024,26025.380187767503,-48483.19722457453,3.467595016282641
320,28862.92988995851,50960.60278560702,26170.792424385767,-48268.46532003427,3.4277893489434486
322,28389.43590670654,50900.94551958196,26004.61781305209,-48516.127425927494,3.450136429995758
