# Cluster list (43 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 9500 16.0872271579 15.7537133684 15.4049128421 
2 40 -4.905275 4.331 31.65675 
3 30 36.1603333333 33.3132333333 0.9332666667 
4 20 21.81455 41.5015 13.27895 
5 20 -5.444 6.0191 24.2499 
6 20 23.28255 -5.87715 8.7875 
7 10 36.1297 -4.4567 1.7192 
8 10 19.5724 28.9787 -5.8084 
9 10 -1.2297 7.03 -9.556 
10 10 -8.2242 16.1528 1.3177 
11 10 14.2548 5.6433 -9.9165 
12 10 31.5168 36.6877 26.6016 
13 10 0.1297 2.8262 30.9851 
14 10 30.361 24.9235 33.6439 
15 10 44.0649 8.6018 20.6835 
16 10 3.717 14.2414 32.5306 
17 10 -0.5451 37.89 -7.0955 
18 10 -4.9438 13.6395 -10.236 
19 10 -15.2598 4.9179 27.3366 
20 10 27.6832 40.9617 27.9394 
21 10 12.7851 16.0107 44.7123 
22 10 31.0221 21.3174 38.1439 
23 10 -9.2064 8.3897 41.0185 
24 10 2.3555 2.4956 37.1038 
25 10 10.6296 -7.7079 -3.4212 
26 10 41.6361 21.183 1.9774 
27 10 -5.8261 1.0399 25.5774 
28 10 16.7232 31.7772 39.6697 
29 10 -8.5808 2.4282 35.3348 
30 10 32.8848 14.4784 36.0663 
31 10 40.6649 11.5804 26.5637 
32 10 39.2679 9.1653 20.29 
33 10 34.1811 0.4967 20.5672 
34 10 42.2871 19.7953 32.7511 
35 10 16.0896 1.1527 40.4189 
36 10 34.1425 32.5877 18.7828 
37 10 -5.2826 20.6087 42.4616 
38 10 32.3953 -5.7002 18.7671 
39 10 36.4324 29.881 33.2478 
40 10 25.2006 35.8118 26.5163 
41 10 21.6561 25.1802 39.9095 
42 10 30.3822 25.7074 -11.0229 
43 10 17.1961 -3.4694 37.4835 
