# Cluster list (13 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 9840 13.5573106707 13.2958090447 13.0896471545 
2 20 30.6042 -2.0084 19.72035 
3 20 24.9663 -3.78255 26.301 
4 20 36.061 6.47725 10.0334 
5 20 -3.4953 31.7992 9.3504 
6 10 22.107 31.7349 -3.822 
7 10 19.6611 24.1837 -5.4695 
8 10 12.8435 21.1676 -7.597 
9 10 -5.0093 5.5318 29.7586 
10 10 32.4472 4.439 27.1706 
11 10 -6.4423 4.463 11.5889 
12 10 2.6907 20.0954 -10.635 
13 10 17.2681 -7.0374 27.4367 
