# Cluster list (33 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 9410 17.346811796 16.3678242295 16.5139517535 
2 70 16.6522571429 37.9169285714 14.0485142857 
3 60 -1.6673333333 -2.4181 31.0187333333 
4 60 -7.9362833333 3.82255 29.73945 
5 30 -9.9548 27.5753666667 9.0068333333 
6 30 39.9447 46.3436 8.7848666667 
7 30 25.2447666667 36.8268333333 -3.0182666667 
8 30 43.8933 11.6811333333 9.0337333333 
9 30 39.2615666667 37.0078 20.4230333333 
10 20 11.63165 38.61585 28.9073 
11 10 20.5892 35.9464 5.6062 
12 10 -3.4802 26.0983 41.0102 
13 10 22.9558 30.912 -10.9436 
14 10 23.9063 13.4324 42.7592 
15 10 35.1463 30.8689 1.0036 
16 10 39.6059 0.8462 26.1498 
17 10 33.9612 -4.6884 28.2493 
18 10 -4.0084 33.6101 7.6527 
19 10 -6.3466 28.8749 -3.6902 
20 10 27.9994 3.9118 -9.2506 
21 10 -2.3113 18.5556 34.9491 
22 10 36.8558 45.6853 6.1769 
23 10 7.7377 42.7591 25.583 
24 10 -7.9058 22.4121 35.4093 
25 10 -9.6267 21.4223 31.5657 
26 10 -3.5983 31.3391 44.9537 
27 10 -12.6161 4.7477 43.7239 
28 10 7.6299 40.4346 10.2467 
29 10 27.6486 -6.6327 27.9346 
30 10 18.2527 -0.9224 41.9778 
31 10 -4.1359 32.1111 39.1779 
32 10 30.8496 26.4669 -5.4814 
33 10 26.2745 -4.1071 42.7318 
