# Cluster list (78 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 35700 48.0406214006 44.4825467787 47.5814023529 
2 420 4.6704285714 12.2192952381 79.0042452381 
3 336 10.1931785714 67.9158869048 94.8188839286 
4 294 26.4955204082 88.3796564626 12.1862108844 
5 252 87.9936150794 101.1997539683 27.069734127 
6 210 77.1413095238 95.1835619048 15.4928666667 
7 210 19.3600333333 87.3952285714 70.1702142857 
8 168 87.183327381 34.6857380952 38.4895357143 
9 168 16.5036607143 29.3917857143 60.7478452381 
10 168 -4.7140952381 89.5902142857 62.4269047619 
11 168 91.9474345238 28.3193988095 92.342922619 
12 126 -2.8989285714 -2.5918333333 22.0888888889 
13 126 93.4507698413 89.4705873016 49.9135 
14 126 54.0414365079 60.5846349206 52.964984127 
15 126 95.4090634921 47.8931507937 33.1713015873 
16 126 11.570452381 79.1273174603 45.2798015873 
17 126 32.2404365079 67.6309365079 84.865952381 
18 126 91.4459126984 2.6897936508 33.7898809524 
19 84 95.0561309524 -3.0617380952 21.9937142857 
20 84 41.482702381 78.3258928571 96.0520357143 
21 84 19.3085 80.2653690476 89.0092619048 
22 84 71.892797619 91.2338095238 52.8799285714 
23 84 17.4368214286 20.5894404762 41.3300119048 
24 84 74.473452381 -3.67625 39.720952381 
25 84 28.0547261905 57.2353333333 76.0594166667 
26 84 15.736952381 87.9700595238 54.2237142857 
27 84 39.8894880952 78.8381666667 -0.5919642857 
28 84 1.786702381 44.1093333333 93.0832619048 
29 84 35.2968928571 42.2419047619 2.7720714286 
30 84 -3.0638571429 12.0973214286 50.16325 
31 42 -2.9780714286 6.0468333333 9.2530238095 
32 42 13.4922857143 88.6699047619 101.8304285714 
33 42 16.3542857143 -2.2137380952 47.6272380952 
34 42 4.5121428571 20.4728809524 24.2438571429 
35 42 83.209 92.2251428571 1.1682142857 
36 42 84.4133333333 54.8342619048 91.3529761905 
37 42 85.5123571429 22.113 96.7998571429 
38 42 62.3708571429 31.3033095238 -8.3066428571 
39 42 41.8642380952 61.8542142857 19.049547619 
40 42 44.7841428571 33.4476904762 37.5367857143 
41 42 54.2486666667 -9.9336666667 64.6381666667 
42 42 79.1688333333 46.078047619 34.059 
43 42 26.8644761905 94.3801904762 86.1511666667 
44 42 35.5844761905 97.0897619048 80.3898809524 
45 42 65.5702619048 76.364547619 -2.8990714286 
46 42 16.6361904762 81.7857857143 1.6578809524 
47 42 -4.2558571429 30.2627380952 89.2092142857 
48 42 32.9390952381 61.6675 -9.2419047619 
49 42 77.8602142857 59.0661190476 80.3153571429 
50 42 8.3440238095 3.9856428571 55.5405238095 
51 42 86.0612142857 44.7817380952 95.9049047619 
52 42 -2.7953571429 70.2101904762 23.1682142857 
53 42 20.6139047619 -3.2102380952 89.1590952381 
54 42 1.4876904762 26.268452381 15.0950952381 
55 42 14.9902142857 -4.1857619048 61.0132857143 
56 42 96.0138333333 83.4343333333 82.4202142857 
57 42 -0.3 105.2881190476 91.2012380952 
58 42 95.5501666667 91.8135714286 0.889047619 
59 42 30.6036428571 77.9410952381 -7.9215952381 
60 42 14.7808333333 43.3095 97.245 
61 42 -0.0983333333 8.0273333333 29.2575952381 
62 42 15.246452381 23.6671428571 101.5212857143 
63 42 90.7583809524 83.2781190476 40.9417619048 
64 42 -0.6841904762 41.9824285714 76.3702619048 
65 42 102.0343333333 71.0766190476 -2.1836666667 
66 42 92.2551666667 26.1364047619 50.9162142857 
67 42 85.4404047619 15.8355 33.2685238095 
68 42 93.7763571429 68.485047619 58.8951428571 
69 42 -3.7425952381 -1.93 46.7127619048 
70 42 32.9299285714 71.623452381 50.3899285714 
71 42 71.7162142857 53.987 -4.949 
72 42 86.6397857143 54.4782380952 0.9291904762 
73 42 85.9636904762 52.7703809524 70.4945952381 
74 42 -7.4460714286 90.4066904762 19.8945 
75 42 20.8468809524 14.8707380952 -2.7954761905 
76 42 3.3978333333 45.3861904762 37.9829761905 
77 42 87.6982142857 0.5962142857 50.8476428571 
78 42 86.183952381 73.4496190476 -0.0226190476 
