# Cluster list (109 data points):
# "Cluster Identifier" "Cluster Size"
1 442 
2 816 
3 170 
4 13124 
5 102 
6 102 
7 3230 
8 68 
9 238 
10 170 
11 102 
12 442 
13 272 
14 340 
15 340 
16 136 
17 1122 
18 646 
19 306 
20 1326 
21 34 
22 680 
23 102 
24 136 
25 102 
26 102 
27 204 
28 136 
29 136 
30 34 
31 68 
32 442 
33 680 
34 374 
35 68 
36 136 
37 442 
38 34 
39 136 
40 34 
41 68 
42 306 
43 306 
44 170 
45 136 
46 204 
47 68 
48 34 
49 102 
50 68 
51 136 
52 816 
53 306 
54 34 
55 170 
56 340 
57 34 
58 34 
59 68 
60 68 
61 102 
62 68 
63 102 
64 34 
65 68 
66 204 
67 68 
68 136 
69 68 
70 34 
71 68 
72 68 
73 102 
74 68 
75 68 
76 136 
77 34 
78 102 
79 102 
80 68 
81 68 
82 34 
83 34 
84 34 
85 68 
86 34 
87 102 
88 68 
89 34 
90 34 
91 34 
92 102 
93 34 
94 34 
95 34 
96 34 
97 34 
98 34 
99 34 
100 34 
101 34 
102 34 
103 34 
104 34 
105 34 
106 34 
107 68 
108 34 
109 34 
