 Total Particles | Monomers per Polymer | Real Frac Phobic | Density | Average Radius of Gyration | Mean End-To-End Distance of Chains
30000 | 30| 22 | 0.05 | 41.71558010417928 | 10.256240173886882
30000 | 30| 15 | 0.05 | 38.27257303895203 | 9.643673223989515
30000 | 30| 7 | 0.05 | 29.326786775764166 | 8.04836533506363
30000 | 30| 22 | 0.1 | 41.21514309798719 | 10.1408397971203
30000 | 30| 15 | 0.1 | 38.74831102583512 | 9.72615815314658
30000 | 30| 7 | 0.1 | 30.499160711503723 | 8.348480491556922
30000 | 30| 22 | 0.15 | 40.54271358478587 | 10.165318854008722
30000 | 30| 15 | 0.15 | 38.64233009875455 | 9.844745114745542
30000 | 30| 7 | 0.15 | 31.68917683570858 | 8.732407911636543
30000 | 30| 22 | 0.2 | 39.578732185454825 | 9.859493901649829
30000 | 30| 15 | 0.2 | 38.73668037868298 | 9.806120130647058
30000 | 30| 7 | 0.2 | 32.556522445468325 | 9.193107544324663
30000 | 30| 22 | 0.25 | 38.81966054683681 | 9.583272705116105
30000 | 30| 15 | 0.25 | 38.87523479514651 | 10.001600950055364
30000 | 30| 7 | 0.25 | 32.80439923846411 | 9.329899003937303
30000 | 30| 22 | 0.3 | 37.99884704923729 | 9.544523237624936
30000 | 30| 15 | 0.3 | 39.06537506153718 | 10.01763919695017
30000 | 30| 7 | 0.3 | 32.93307505860515 | 9.297418357735548
30000 | 30| 22 | 0.35 | 37.089901153057085 | 9.13803211371791
30000 | 30| 15 | 0.35 | 38.827712771151525 | 10.216682141756683
30000 | 30| 7 | 0.35 | 32.87658383402372 | 9.238949815740282
30000 | 30| 22 | 0.4 | 36.68751987354079 | 9.10882468162427
30000 | 30| 15 | 0.4 | 38.4834643104309 | 10.221457806369843
30000 | 30| 7 | 0.4 | 32.78643491289657 | 9.2357478847682
30000 | 30| 22 | 0.45 | 36.053330943862406 | 8.925952210077675
30000 | 30| 15 | 0.45 | 38.061492552373885 | 10.035675120456618
30000 | 30| 7 | 0.45 | 32.61813032187427 | 9.193434513241334
30000 | 30| 22 | 0.5 | 35.50666678198003 | 8.83252635520131
30000 | 30| 15 | 0.5 | 37.414561336337655 | 9.962109058594173
30000 | 30| 7 | 0.5 | 32.474795060249605 | 8.961871641436058
30000 | 30| 22 | 0.55 | 34.26141300445752 | 8.350419946411474
30000 | 30| 15 | 0.55 | 36.9804335377197 | 10.015027291826184
30000 | 30| 7 | 0.55 | 32.1436183700845 | 8.970486203345226
30000 | 30| 22 | 0.6 | 33.52102755972886 | 8.154507994044618
30000 | 30| 15 | 0.6 | 36.340621064509506 | 9.799180514170116
30000 | 30| 7 | 0.6 | 32.03786445634557 | 8.93349285286295
30000 | 30| 22 | 0.65 | 31.96820594921702 | 7.767957712830151
30000 | 30| 15 | 0.65 | 34.9737721265495 | 9.4067826049306
30000 | 30| 7 | 0.65 | 31.959837479955613 | 8.805512521051579
30000 | 30| 22 | 0.7 | 29.292314800702815 | 6.881543297506758
30000 | 30| 15 | 0.7 | 34.218741797202114 | 9.175288016730304
30000 | 30| 7 | 0.7 | 31.481351315476765 | 8.62570665412888
30000 | 30| 22 | 0.75 | 27.62659667280369 | 5.971138640932143
30000 | 30| 15 | 0.75 | 31.73553085622367 | 7.986751359358696
30000 | 30| 7 | 0.75 | 31.201468734815556 | 8.598539899095579
30000 | 30| 22 | 0.8 | 27.147576952493825 | 5.771036528661953
30000 | 30| 15 | 0.8 | 29.17509573805448 | 6.936834843326723
30000 | 30| 7 | 0.8 | 30.974654995240044 | 8.390629916490182
