 Total Particles | Monomers per Polymer | Real Frac Phobic | Density | Average Radius of Gyration | Mean End-To-End Distance of Chains
42000 | 42| 31 | 0.05 | 50.78612418301115 | 12.551385933681736
42000 | 42| 21 | 0.05 | 45.379725500092526 | 11.32419385176029
42000 | 42| 10 | 0.05 | 33.75517310878807 | 9.090908154862564
42000 | 42| 31 | 0.1 | 49.460610032395756 | 12.302871146033455
42000 | 42| 21 | 0.1 | 45.83342190598296 | 11.706054186991393
42000 | 42| 10 | 0.1 | 35.555668974793534 | 9.784887636216855
42000 | 42| 31 | 0.15 | 47.9951693429401 | 11.899991743366959
42000 | 42| 21 | 0.15 | 45.707494838279686 | 11.465214903847114
42000 | 42| 10 | 0.15 | 37.07153598587896 | 10.447106449594841
42000 | 42| 31 | 0.2 | 46.49521838926053 | 11.657998619417567
42000 | 42| 21 | 0.2 | 45.46552458639801 | 11.557386525252705
42000 | 42| 10 | 0.2 | 37.836033787220856 | 10.880802029779183
42000 | 42| 31 | 0.25 | 44.88328995677161 | 11.371683144814492
42000 | 42| 21 | 0.25 | 45.61247017654488 | 11.659609151274555
42000 | 42| 10 | 0.25 | 38.41835958328152 | 11.152332144012965
42000 | 42| 31 | 0.3 | 43.985297146675634 | 10.69766364677944
42000 | 42| 21 | 0.3 | 45.45836967924447 | 11.87439075100219
42000 | 42| 10 | 0.3 | 38.467014229586454 | 11.154612848457315
42000 | 42| 31 | 0.35 | 43.136843779922884 | 10.503573057072881
42000 | 42| 21 | 0.35 | 45.49628981985678 | 12.043242636826314
42000 | 42| 10 | 0.35 | 38.74781301883719 | 11.106191438956666
42000 | 42| 31 | 0.4 | 42.52057266771482 | 10.460285289355852
42000 | 42| 21 | 0.4 | 44.776788618360484 | 11.933362826887905
42000 | 42| 10 | 0.4 | 38.147252638104916 | 10.853614333582891
42000 | 42| 31 | 0.45 | 41.82447256758319 | 10.387515719455338
42000 | 42| 21 | 0.45 | 43.982357733809394 | 11.867121382977068
42000 | 42| 10 | 0.45 | 38.224094391295935 | 10.734387187228709
42000 | 42| 31 | 0.5 | 40.26580492310051 | 9.663652070088673
42000 | 42| 21 | 0.5 | 43.31205145724614 | 11.761172625354167
42000 | 42| 10 | 0.5 | 37.90150079658742 | 10.656998016485542
42000 | 42| 31 | 0.55 | 39.49103136315099 | 9.3460391378525
42000 | 42| 21 | 0.55 | 41.78928672401156 | 11.12260909606841
42000 | 42| 10 | 0.55 | 37.462947425714376 | 10.301427303049623
42000 | 42| 31 | 0.6 | 38.503313423232285 | 9.259877893675174
42000 | 42| 21 | 0.6 | 40.84478863996174 | 10.838563703263858
42000 | 42| 10 | 0.6 | 37.14545967765032 | 10.267290238536903
42000 | 42| 31 | 0.65 | 36.580282798633924 | 8.836435181564466
42000 | 42| 21 | 0.65 | 39.83871968932572 | 10.657216292303698
42000 | 42| 10 | 0.65 | 37.11065669883327 | 10.30712394886341
42000 | 42| 31 | 0.7 | 33.50113472291639 | 7.597360809585786
42000 | 42| 21 | 0.7 | 37.7913701663264 | 9.500181685602648
42000 | 42| 10 | 0.7 | 36.95204474771602 | 10.069254597980676
42000 | 42| 31 | 0.75 | 31.97499468761436 | 6.94978879909343
42000 | 42| 21 | 0.75 | 36.04186600263367 | 8.981875964701498
42000 | 42| 10 | 0.75 | 36.699218800230696 | 10.142917995525218
42000 | 42| 31 | 0.8 | 31.477467939374215 | 6.788674084063482
42000 | 42| 21 | 0.8 | 33.402670396683064 | 7.8142720465666295
42000 | 42| 10 | 0.8 | 36.039047936200475 | 9.84210108339341
