 Total Particles | Monomers per Polymer | Real Frac Phobic | Density | Average Radius of Gyration | Mean End-To-End Distance of Chains
26000 | 26| 19 | 0.05 | 38.15005902748538 | 9.205931766752517
26000 | 26| 13 | 0.05 | 35.41962111788033 | 8.960151757958926
26000 | 26| 6 | 0.05 | 27.589419305252292 | 7.3861111378235265
26000 | 26| 19 | 0.1 | 38.090461035165674 | 9.392621576710193
26000 | 26| 13 | 0.1 | 35.81259458098599 | 8.975990014736645
26000 | 26| 6 | 0.1 | 28.61396887612462 | 7.851569476463056
26000 | 26| 19 | 0.15 | 37.517605833216706 | 9.34195278335959
26000 | 26| 13 | 0.15 | 36.00862289453011 | 9.077292088111768
26000 | 26| 6 | 0.15 | 29.568405722745 | 8.168080637467622
26000 | 26| 19 | 0.2 | 36.705825192699486 | 9.198910391924677
26000 | 26| 13 | 0.2 | 36.11851914996091 | 9.345978258413595
26000 | 26| 6 | 0.2 | 30.060719718229734 | 8.292989327127534
26000 | 26| 19 | 0.25 | 36.31691156501656 | 9.074780602127996
26000 | 26| 13 | 0.25 | 36.204629551703064 | 9.07221978787052
26000 | 26| 6 | 0.25 | 30.373605439151216 | 8.454690650707159
26000 | 26| 19 | 0.3 | 35.39604690285981 | 8.79061346771919
26000 | 26| 13 | 0.3 | 36.383485503019934 | 9.552462589006597
26000 | 26| 6 | 0.3 | 30.394404183391746 | 8.56920108979167
26000 | 26| 19 | 0.35 | 34.73353188591362 | 8.616911657512729
26000 | 26| 13 | 0.35 | 35.896560641463715 | 9.34181828906603
26000 | 26| 6 | 0.35 | 30.518293503096913 | 8.687317155675121
26000 | 26| 19 | 0.4 | 34.012643563341165 | 8.410213348461031
26000 | 26| 13 | 0.4 | 35.89626794915875 | 9.299877248030976
26000 | 26| 6 | 0.4 | 30.32810159765924 | 8.40026544049089
26000 | 26| 19 | 0.45 | 33.70166711264756 | 8.499523192629766
26000 | 26| 13 | 0.45 | 35.58606854004299 | 9.331060553886715
26000 | 26| 6 | 0.45 | 30.16297477769176 | 8.381261121279268
26000 | 26| 19 | 0.5 | 33.315412999568515 | 8.16810515134432
26000 | 26| 13 | 0.5 | 34.73780924190961 | 9.272670403239093
26000 | 26| 6 | 0.5 | 30.116056127082484 | 8.368203503579968
26000 | 26| 19 | 0.55 | 32.69546987439246 | 8.102753271315258
26000 | 26| 13 | 0.55 | 34.78027508468068 | 9.383653482919055
26000 | 26| 6 | 0.55 | 30.195208536014412 | 8.450577303104811
26000 | 26| 19 | 0.6 | 31.5384854329853 | 7.747804753207161
26000 | 26| 13 | 0.6 | 33.85774086429375 | 8.951157493785667
26000 | 26| 6 | 0.6 | 29.924416100580565 | 8.233161500897014
26000 | 26| 19 | 0.65 | 30.52887220025716 | 7.553522852204507
26000 | 26| 13 | 0.65 | 33.04426695815169 | 8.843450228841167
26000 | 26| 6 | 0.65 | 29.74612033132201 | 8.278293518554843
26000 | 26| 19 | 0.7 | 27.982236755464104 | 6.62854120557336
26000 | 26| 13 | 0.7 | 32.03498001100871 | 8.731037911104165
26000 | 26| 6 | 0.7 | 29.626843779726162 | 8.109292955445868
26000 | 26| 19 | 0.75 | 26.113125591394084 | 5.718853708229918
26000 | 26| 13 | 0.75 | 30.560447028342143 | 7.940446106213349
26000 | 26| 6 | 0.75 | 29.48952364246445 | 8.079745210722264
26000 | 26| 19 | 0.8 | 25.718379723338714 | 5.557997467040641
26000 | 26| 13 | 0.8 | 27.900093110003354 | 6.797838509867119
26000 | 26| 6 | 0.8 | 29.21219301046144 | 7.8141701858633335
