 Total Particles | Monomers per Polymer | Real Frac Phobic | Density | Average Radius of Gyration | Mean End-To-End Distance of Chains
14000 | 14| 10 | 0.05 | 25.832347108339004 | 6.266655766628848
14000 | 14| 7 | 0.05 | 24.768323851388637 | 6.244688955909717
14000 | 14| 3 | 0.05 | 20.9369129216216 | 5.56729353753691
14000 | 14| 10 | 0.1 | 25.692801374581236 | 6.2054222433833734
14000 | 14| 7 | 0.1 | 25.28973103641529 | 6.4790151036906005
14000 | 14| 3 | 0.1 | 21.57701584337503 | 5.734801442155032
14000 | 14| 10 | 0.15 | 25.639640567785243 | 6.28488588871225
14000 | 14| 7 | 0.15 | 25.49232558245167 | 6.468507332200549
14000 | 14| 3 | 0.15 | 22.076848692334174 | 5.913669467819891
14000 | 14| 10 | 0.2 | 25.6967037783367 | 6.327030686098388
14000 | 14| 7 | 0.2 | 25.778322568105562 | 6.618358683525763
14000 | 14| 3 | 0.2 | 22.24852214567031 | 5.993576294726041
14000 | 14| 10 | 0.25 | 25.594202911254012 | 6.364168834644301
14000 | 14| 7 | 0.25 | 25.828847441880885 | 6.677522700098148
14000 | 14| 3 | 0.25 | 22.37932638100795 | 5.95624761121776
14000 | 14| 10 | 0.3 | 25.40105992242789 | 6.312144162496503
14000 | 14| 7 | 0.3 | 25.619990960385504 | 6.6306810690588796
14000 | 14| 3 | 0.3 | 22.27685483296896 | 5.995514032715757
14000 | 14| 10 | 0.35 | 25.155034045066976 | 6.254643982570566
14000 | 14| 7 | 0.35 | 25.566537193867187 | 6.514514934901552
14000 | 14| 3 | 0.35 | 22.3056140556183 | 5.977423495907196
14000 | 14| 10 | 0.4 | 24.815931187124765 | 6.3204058210035345
14000 | 14| 7 | 0.4 | 25.3431644666519 | 6.58365463202689
14000 | 14| 3 | 0.4 | 22.26851894651952 | 5.965769857877415
14000 | 14| 10 | 0.45 | 24.575194493628402 | 6.206774040111246
14000 | 14| 7 | 0.45 | 25.16217179245097 | 6.413026843918269
14000 | 14| 3 | 0.45 | 22.24850314563558 | 6.000700861095514
14000 | 14| 10 | 0.5 | 24.244769154652737 | 6.091289816915197
14000 | 14| 7 | 0.5 | 24.70041130469323 | 6.451635193459692
14000 | 14| 3 | 0.5 | 22.12178571669738 | 5.978319773040594
14000 | 14| 10 | 0.55 | 23.765303069331775 | 6.076951407932743
14000 | 14| 7 | 0.55 | 24.36180167655539 | 6.290327751220663
14000 | 14| 3 | 0.55 | 21.9251957723185 | 5.808916089787484
14000 | 14| 10 | 0.6 | 23.226335624395794 | 5.952780600503722
14000 | 14| 7 | 0.6 | 23.874655123371195 | 6.204622639096493
14000 | 14| 3 | 0.6 | 21.787478360542288 | 5.8494657141660005
14000 | 14| 10 | 0.65 | 21.980713010300157 | 5.471094999044716
14000 | 14| 7 | 0.65 | 23.21116983239238 | 6.074106395109561
14000 | 14| 3 | 0.65 | 21.525981659202298 | 5.74118219292987
14000 | 14| 10 | 0.7 | 20.222984833469102 | 4.742056364334661
14000 | 14| 7 | 0.7 | 22.36156699839282 | 5.933464711428312
14000 | 14| 3 | 0.7 | 21.316228253149824 | 5.696592391438212
14000 | 14| 10 | 0.75 | 19.06022839353861 | 4.151757651106939
14000 | 14| 7 | 0.75 | 21.035162760161647 | 5.2764072579701855
14000 | 14| 3 | 0.75 | 20.785277157350183 | 5.493944860203355
14000 | 14| 10 | 0.8 | 18.74658876752682 | 4.049509275512337
14000 | 14| 7 | 0.8 | 19.295323228925422 | 4.389425171322018
14000 | 14| 3 | 0.8 | 20.574378549725854 | 5.49585587735394
