 Total Particles | Monomers per Polymer | Real Frac Phobic | Density | Average Radius of Gyration | Mean End-To-End Distance of Chains
10000 | 10| 7 | 0.05 | 20.69329085957425 | 5.022308073702744
10000 | 10| 5 | 0.05 | 19.668164107598077 | 4.815981233835104
10000 | 10| 2 | 0.05 | 17.353931374364617 | 4.477495893690149
10000 | 10| 7 | 0.1 | 20.564910971519012 | 4.96146564801052
10000 | 10| 5 | 0.1 | 20.02146776524473 | 4.933394887114067
10000 | 10| 2 | 0.1 | 17.78263207591577 | 4.631946599510726
10000 | 10| 7 | 0.15 | 20.44576525127496 | 4.948925905171776
10000 | 10| 5 | 0.15 | 20.33139857423006 | 5.098973357110394
10000 | 10| 2 | 0.15 | 18.005009093067716 | 4.652722964693086
10000 | 10| 7 | 0.2 | 20.36143097479918 | 4.93695270439652
10000 | 10| 5 | 0.2 | 20.459577870246346 | 5.123157931024387
10000 | 10| 2 | 0.2 | 18.088135681677347 | 4.778137264927932
10000 | 10| 7 | 0.25 | 20.358497238902714 | 5.002774527399614
10000 | 10| 5 | 0.25 | 20.550334586996154 | 5.2056722402050495
10000 | 10| 2 | 0.25 | 18.055917279900097 | 4.705272312281141
10000 | 10| 7 | 0.3 | 20.393039828461152 | 5.003751047152786
10000 | 10| 5 | 0.3 | 20.490508921534484 | 5.20214788205777
10000 | 10| 2 | 0.3 | 18.070014387091742 | 4.697791010180738
10000 | 10| 7 | 0.35 | 20.38550315381694 | 5.010480481198829
10000 | 10| 5 | 0.35 | 20.484656385791446 | 5.26142298077298
10000 | 10| 2 | 0.35 | 18.02977022019837 | 4.651469960245441
10000 | 10| 7 | 0.4 | 20.288939682415236 | 5.046101415106798
10000 | 10| 5 | 0.4 | 20.360178099939343 | 5.116186428749786
10000 | 10| 2 | 0.4 | 17.9893835125555 | 4.632946715601063
10000 | 10| 7 | 0.45 | 20.10459480971046 | 5.048873706173933
10000 | 10| 5 | 0.45 | 20.286487710502442 | 5.153858961126721
10000 | 10| 2 | 0.45 | 17.939528844585865 | 4.7041438486231
10000 | 10| 7 | 0.5 | 19.833013248997172 | 4.925292025873929
10000 | 10| 5 | 0.5 | 20.091425222346096 | 5.158992085707177
10000 | 10| 2 | 0.5 | 17.859586330558262 | 4.612335512436788
10000 | 10| 7 | 0.55 | 19.551907678911356 | 4.915903456319637
10000 | 10| 5 | 0.55 | 20.069110005994403 | 5.151497296987263
10000 | 10| 2 | 0.55 | 17.824745387977348 | 4.613042636195526
10000 | 10| 7 | 0.6 | 19.149885337215785 | 4.825087442126535
10000 | 10| 5 | 0.6 | 19.869124915897487 | 5.142600737823
10000 | 10| 2 | 0.6 | 17.698142523385222 | 4.569359294434948
10000 | 10| 7 | 0.65 | 18.64946756021711 | 4.679939620428188
10000 | 10| 5 | 0.65 | 19.51442624319011 | 5.028926086136224
10000 | 10| 2 | 0.65 | 17.620183063855134 | 4.593066396956235
10000 | 10| 7 | 0.7 | 17.464877596093768 | 4.216346409948273
10000 | 10| 5 | 0.7 | 18.851128167876556 | 4.8519956954047325
10000 | 10| 2 | 0.7 | 17.45913849602227 | 4.548177477161089
10000 | 10| 7 | 0.75 | 16.359972608015052 | 3.573789089901154
10000 | 10| 5 | 0.75 | 17.961888480722404 | 4.641341832644443
10000 | 10| 2 | 0.75 | 17.290704202727 | 4.494208712935932
10000 | 10| 7 | 0.8 | 16.181798868953873 | 3.5190766174948784
10000 | 10| 5 | 0.8 | 16.515139906348747 | 3.840466752569331
10000 | 10| 2 | 0.8 | 17.069639768724343 | 4.454991777387914
