# Cluster list (17 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 9810 15.251730581 14.8810223242 14.8613785933 
2 20 33.1166 36.61235 6.7301 
3 20 1.73015 9.0195 -8.10045 
4 20 -6.46585 23.6886 2.699 
5 10 29.524 34.3023 25.7532 
6 10 24.9145 28.7392 27.0693 
7 10 8.6674 43.7715 7.3875 
8 10 42.8969 2.5593 32.72 
9 10 39.4928 1.0177 26.5743 
10 10 -1.8912 -4.828 -2.3631 
11 10 34.1394 34.5676 19.3918 
12 10 15.6031 -8.1276 27.5463 
13 10 40.8877 21.7346 4.4494 
14 10 -3.2296 27.0642 -6.9812 
15 10 17.2612 12.0226 39.9268 
16 10 35.6651 -4.3481 14.1437 
17 10 16.1107 0.3238 40.435 
