# Cluster list (51 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 9350 18.5456700535 17.7430760428 18.1147106952 
2 50 9.20164 42.54238 44.13998 
3 50 -2.41594 37.09792 4.10728 
4 30 43.7638666667 41.0056 19.3401 
5 20 19.0115 27.8422 -6.789 
6 20 43.8389 2.01155 18.5491 
7 20 27.71655 48.81165 -1.3017 
8 20 -7.90435 22.907 33.53 
9 20 19.52835 -4.1085 41.1585 
10 10 43.3546 29.0316 18.1814 
11 10 24.9031 6.6999 -11.7148 
12 10 10.5296 20.1886 44.3505 
13 10 26.318 54.6304 -3.1587 
14 10 5.1458 -5.4295 6.227 
15 10 19.3807 17.4308 -17.0769 
16 10 30.0485 -7.2064 -16.1874 
17 10 13.8721 -9.9549 8.648 
18 10 -13.9702 21.1644 32.6129 
19 10 27.447 15.5001 -8.6589 
20 10 16.5671 24.5939 45.9094 
21 10 -2.3486 49.0401 15.6577 
22 10 21.7318 -9.785 4.4537 
23 10 41.6599 20.1172 1.8908 
24 10 53.5188 -0.037 17.1222 
25 10 18.6437 11.5871 -15.1103 
26 10 8.9639 32.4634 42.6239 
27 10 43.4016 -8.4538 10.0874 
28 10 10.3801 43.9047 1.264 
29 10 -7.2497 4.2089 19.6492 
30 10 6.4419 2.1338 -8.9314 
31 10 23.8692 27.2954 -4.8365 
32 10 -13.238 16.1704 29.1373 
33 10 23.4295 32.6442 47.7305 
34 10 28.7052 46.1423 55.3701 
35 10 -2.0023 43.9592 23.6659 
36 10 23.7349 37.7911 48.642 
37 10 -3.6992 38.4418 13.1945 
38 10 -8.9192 -6.5376 21.2734 
39 10 9.1685 46.9838 25.3462 
40 10 11.3677 -8.8498 36.3816 
41 10 28.3814 -9.8056 32.7956 
42 10 -5.8254 7.4585 0.3537 
43 10 46.323 10.1312 17.3429 
44 10 3.9765 -6.4931 19.1152 
45 10 -7.7928 17.6227 14.9781 
46 10 30.8381 -4.3528 39.9411 
47 10 35.8789 18.8922 -9.8723 
48 10 -11.5158 5.8677 4.4981 
49 10 39.5878 29.7021 33.2802 
50 10 40.4728 37.6372 -2.0078 
51 10 39.2626 -1.9293 14.5967 
