# Cluster list (98 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 8460 20.0419700946 20.0950515366 20.250798227 
2 70 9.7603571429 -4.8987285714 14.5239714286 
3 50 13.66842 21.16802 47.32564 
4 50 24.88034 38.44072 -2.76554 
5 40 26.1061 -9.739475 36.262725 
6 40 9.947175 -6.335975 1.57675 
7 40 31.013525 23.60285 -3.854425 
8 40 47.44695 29.63815 12.297425 
9 30 42.1512333333 2.3934333333 7.3052 
10 30 13.4288333333 52.9844666667 28.3035666667 
11 30 46.5162666667 20.4876 8.1445333333 
12 30 4.7708 3.9737 -15.0469333333 
13 30 46.06 12.0597 46.4637 
14 30 30.9623333333 14.4006333333 52.6835666667 
15 20 -4.57945 0.0991 -0.27975 
16 20 -11.0914 9.9311 1.2108 
17 20 23.05485 41.0396 7.77655 
18 20 40.3732 18.0106 37.82045 
19 20 38.8365 44.2051 0.94625 
20 20 -4.7386 34.1194 29.7012 
21 20 6.36575 42.35955 32.1669 
22 20 55.1215 31.91735 14.68695 
23 20 25.29705 15.49235 -9.64255 
24 20 -12.6736 11.732 17.6099 
25 20 19.83575 24.89655 -7.2249 
26 20 10.9558 -2.23025 28.7906 
27 20 9.95655 4.7355 48.9038 
28 20 -8.19595 11.80215 45.4064 
29 20 18.18775 -6.74795 20.42755 
30 20 51.13995 7.066 11.10285 
31 20 16.09225 -7.2973 31.9334 
32 20 41.0701 27.2703 42.4502 
33 20 36.3222 22.25165 -11.388 
34 10 -4.1395 36.2387 -14.6864 
35 10 30.3897 21.9417 -16.2016 
36 10 -1.8328 24.8885 -6.8469 
37 10 -7.2985 30.1127 13.2001 
38 10 33.5304 -2.5405 46.1883 
39 10 24.2546 -10.2794 -12.1434 
40 10 -9.097 29.1672 3.7424 
41 10 -5.46 42.7919 16.1186 
42 10 34.047 42.1092 51.2788 
43 10 48.454 -6.4629 18.1801 
44 10 4.6201 47.158 14.6863 
45 10 -11.9826 39.883 13.6579 
46 10 18.6723 34.8243 48.3797 
47 10 7.5075 47.3459 -8.0342 
48 10 15.3264 36.5231 -9.3335 
49 10 14.3564 43.2164 30.1757 
50 10 -4.7237 0.0703 -11.353 
51 10 -7.3148 21.1707 31.3755 
52 10 72.2183 38.3972 32.2844 
53 10 25.9334 -2.2847 13.9206 
54 10 53.7211 51.8981 24.6835 
55 10 16.9696 -4.9707 27.5927 
56 10 9.6837 15.5465 53.4877 
57 10 -8.6762 54.9058 29.7501 
58 10 54.3433 43.0312 18.6637 
59 10 33.4027 50.2168 -5.9148 
60 10 10.7329 19.4452 -7.8185 
61 10 55.5246 19.8988 14.7867 
62 10 55.3049 28.2985 29.9533 
63 10 31.2216 -12.4425 7.7917 
64 10 -9.1208 34.0414 35.866 
65 10 24.2251 -4.7885 -8.1697 
66 10 5.839 30.5791 51.7849 
67 10 31.0249 -6.6489 36.9589 
68 10 29.4663 49.7801 31.8352 
69 10 24.1913 3.2654 52.9236 
70 10 13.8819 51.0965 53.012 
71 10 44.6922 -2.7274 50.2128 
72 10 -6.6527 17.5529 17.4236 
73 10 36.4423 53.209 29.3487 
74 10 6.4822 18.0937 49.2558 
75 10 42.4109 29.3221 -1.2218 
76 10 39.0127 16.0929 -7.439 
77 10 1.7717 -5.2858 31.8267 
78 10 46.1583 18.5473 31.5035 
79 10 16.1415 47.4704 18.6734 
80 10 -2.6059 39.0207 38.6778 
81 10 25.9327 23.643 -18.0518 
82 10 7.8064 -12.388 25.3107 
83 10 9.0346 -10.9318 5.3542 
84 10 -7.037 9.2633 17.4734 
85 10 60.2289 10.0372 5.1039 
86 10 51.9011 29.6768 36.3728 
87 10 51.4299 27.8335 24.3913 
88 10 -8.684 50.4437 16.213 
89 10 45.7395 17.0599 23.2638 
90 10 20.787 41.0895 -8.6345 
91 10 27.8984 33.0423 -9.5557 
92 10 -3.2534 7.2727 23.7682 
93 10 34.9141 4.3561 50.0014 
94 10 26.1205 26.9694 -1.5777 
95 10 37.216 -6.9733 16.7598 
96 10 8.3442 -6.1547 -7.4648 
97 10 16.352 3.6666 47.9759 
98 10 37.3039 -7.3985 33.5167 
