# Cluster list (199 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 6770 23.2247155096 23.7159192024 24.2819651403 
2 110 28.1313 11.2498363636 2.1154636364 
3 90 0.0418777778 30.758 20.8105333333 
4 80 -4.4066375 12.6773875 16.537175 
5 70 -2.9802571429 11.6050857143 36.7066428571 
6 60 42.8793833333 45.1407166667 3.5367166667 
7 60 47.3941666667 -5.3676 39.8065666667 
8 60 28.3586666667 50.05965 39.8421666667 
9 50 51.541 10.61924 32.17674 
10 50 54.26754 17.6403 35.47928 
11 50 3.7861 -5.37194 37.89814 
12 40 46.562875 38.572375 4.468375 
13 40 47.111425 -2.3308 12.302425 
14 40 23.0621 4.738225 -6.568325 
15 40 49.935125 29.33935 41.4557 
16 30 51.6485333333 2.9812333333 46.2687666667 
17 30 11.8539666667 45.0914333333 2.0239666667 
18 30 -5.0352333333 9.4386666667 29.412 
19 30 -2.3066 2.0786333333 9.9877333333 
20 30 33.6742333333 -2.5225 19.9972333333 
21 30 31.9371 -7.4796666667 45.8909666667 
22 30 43.5898333333 28.3884666667 55.9432 
23 30 11.9435 -2.0355666667 39.1848666667 
24 30 13.5449333333 0.6535666667 -7.5778 
25 30 8.9434666667 -9.9843 6.1304333333 
26 30 32.6161666667 23.8868333333 -7.6777333333 
27 20 53.9899 16.966 8.8649 
28 20 40.82075 52.7928 4.9414 
29 20 34.31015 10.89765 -8.95635 
30 20 -4.4893 51.33835 28.3856 
31 20 9.339 2.3815 22.39865 
32 20 42.43875 -1.38945 2.6562 
33 20 21.4354 37.36375 -5.3076 
34 20 -6.4887 12.7192 -2.3581 
35 20 -2.72615 28.34565 9.65785 
36 20 17.398 -11.97745 22.2628 
37 20 -11.49945 8.3736 32.0539 
38 20 5.58315 -0.4499 -1.46775 
39 20 35.24285 -12.5094 -5.86695 
40 20 -9.53355 5.5788 6.5593 
41 20 3.96525 8.15255 31.4104 
42 20 -5.83745 46.01395 1.47445 
43 20 55.39635 26.04955 32.7612 
44 20 1.30575 36.9592 29.82805 
45 20 4.7142 28.32065 -5.43485 
46 20 11.23195 7.7402 -2.15315 
47 20 32.2631 4.65325 -3.01765 
48 20 37.518 52.2985 23.43065 
49 20 3.2815 55.8743 26.736 
50 20 57.4146 11.9744 43.33935 
51 20 10.79415 56.68235 17.69845 
52 20 5.1536 50.0124 49.11945 
53 20 41.92295 44.28085 45.0234 
54 20 18.40675 10.25155 50.7726 
55 20 10.69105 -7.3922 -3.78795 
56 20 48.5536 18.99155 -2.6395 
57 20 54.1377 3.0721 16.38025 
58 20 23.97125 45.81285 46.87775 
59 20 64.20715 24.01065 13.76345 
60 10 10.7625 51.6757 -3.3396 
61 10 11.6646 -16.2512 14.7666 
62 10 -8.6156 45.0533 -18.9744 
