# Cluster list (96 data points):
# "Cluster Identifier" "Cluster Size"
1 630 
2 144 
3 1404 
4 2070 
5 612 
6 162 
7 1026 
8 558 
9 72 
10 864 
11 18 
12 54 
13 414 
14 36 
15 270 
16 54 
17 144 
18 126 
19 306 
20 396 
21 648 
22 18 
23 1260 
24 234 
25 522 
26 252 
27 378 
28 180 
29 234 
30 162 
31 36 
32 126 
33 108 
34 36 
35 306 
36 126 
37 54 
38 36 
39 252 
40 144 
41 54 
42 54 
43 252 
44 306 
45 18 
46 108 
47 126 
48 54 
49 36 
50 18 
51 90 
52 54 
53 108 
54 36 
55 270 
56 72 
57 54 
58 90 
59 36 
60 126 
61 18 
62 126 
63 36 
64 36 
65 18 
66 72 
67 18 
68 72 
69 72 
70 18 
71 162 
72 54 
73 90 
74 54 
75 36 
76 18 
77 36 
78 36 
79 18 
80 18 
81 54 
82 36 
83 36 
84 18 
85 18 
86 18 
87 18 
88 144 
89 36 
90 54 
91 18 
92 18 
93 18 
94 36 
95 18 
96 18 
